a,b,num_pairs,normalized,url_a,url_b
Z156319401,Z162737605,1734,1.4961173425366696,http://data.onb.ac.at/ABO/+Z156319401,http://data.onb.ac.at/ABO/+Z162737605
Z156319401,Z162737502,1734,1.4413965087281795,http://data.onb.ac.at/ABO/+Z156319401,http://data.onb.ac.at/ABO/+Z162737502
Z158022808,Z164171807,1680,1.6884422110552764,http://data.onb.ac.at/ABO/+Z158022808,http://data.onb.ac.at/ABO/+Z164171807
Z164724109,Z156398106,1664,1.3,http://data.onb.ac.at/ABO/+Z164724109,http://data.onb.ac.at/ABO/+Z156398106
Z185157600,Z180059703,1650,0.8647798742138365,http://data.onb.ac.at/ABO/+Z185157600,http://data.onb.ac.at/ABO/+Z180059703
Z180059703,Z185144605,1650,0.870253164556962,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z185144605
Z180059703,Z168353904,1650,0.8426966292134831,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z168353904
Z180059703,Z185145002,1650,0.8172362555720654,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z185145002
Z180059703,Z177004902,1650,0.8341759352881699,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z177004902
Z180059703,Z105572305,1650,0.7445848375451264,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z105572305
Z180059703,Z168351208,1650,0.847457627118644,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z168351208
Z180059703,Z168354404,1650,0.8914100486223663,http://data.onb.ac.at/ABO/+Z180059703,http://data.onb.ac.at/ABO/+Z168354404
Z156319401,Z156398106,1632,1.4493783303730017,http://data.onb.ac.at/ABO/+Z156319401,http://data.onb.ac.at/ABO/+Z156398106
Z162737708,Z178376102,1624,0.8405797101449275,http://data.onb.ac.at/ABO/+Z162737708,http://data.onb.ac.at/ABO/+Z178376102
Z202942703,Z164724109,1560,0.9022556390977443,http://data.onb.ac.at/ABO/+Z202942703,http://data.onb.ac.at/ABO/+Z164724109
Z164724109,Z163301100,1560,1.8505338078291815,http://data.onb.ac.at/ABO/+Z164724109,http://data.onb.ac.at/ABO/+Z163301100
