barcode_a,barcode_b,doc2vec_distance,reissue
Z35076705,Z164752105,40.096675872802734,
Z169010905,Z182900000,40.26632308959961,
Z204534306,Z156577207,40.437965393066406,
Z157598504,Z18244920X,40.61104202270508,
Z35076705,Z157583008,40.83026123046875,
Z156577207,Z169010905,40.92118453979492,
Z15657730X,Z224214403,41.128292083740234,
Z182900000,Z224214403,41.13849639892578,
Z157598504,Z156577207,41.232704162597656,
Z256471804,Z182900000,41.54136657714844,
Z204534306,Z169010905,41.7006721496582,
Z169010905,Z18244920X,42.14302062988281,
Z204534306,Z15657730X,42.261497497558594,
Z157598504,Z170807409,42.32715606689453,reissue
Z156577207,Z156265702,42.64645767211914,
Z158700100,Z182900000,42.651546478271484,
Z256471804,Z35076705,42.665714263916016,
Z157598504,Z204534306,43.091285705566406,reissue
Z224214403,Z18244920X,43.22079086303711,
Z170807203,Z15657730X,43.306514739990234,
Z158700100,Z18244920X,43.790531158447266,
Z256471804,Z18244920X,43.99678039550781,
Z256472808,Z164752105,44.582462310791016,
Z170807203,Z204534306,45.08953857421875,reissue
Z35076705,Z224214403,45.18273162841797,
Z170807203,Z156577207,45.624393463134766,
Z35076705,Z156577207,45.65788269042969,
Z157583008,Z256472808,45.68186950683594,
Z170807409,Z157711400,46.60288619995117,reissue
Z156577207,Z182900000,46.68062973022461,
Z169010905,Z256472808,46.95660400390625,
Z256472808,Z168353801,46.97726058959961,
Z224270704,Z224214403,46.99469757080078,reissue
Z256472808,Z168353709,47.048072814941406,
Z170807203,Z35076705,47.17802429199219,
Z170807409,Z256472808,47.222999572753906,
Z170807203,Z182900000,47.40574645996094,
Z204534306,Z224270704,48.243988037109375,reissue
Z156577207,Z256472808,48.32368087768555,
Z256471804,Z224270704,48.32373809814453,
Z158700100,Z157583008,48.470855712890625,
Z156577207,Z18244920X,48.479801177978516,
Z170807203,Z185142104,48.571189880371094,
Z156577207,Z184929303,48.92805480957031,
Z204534306,Z256472808,49.22462463378906,
Z170807203,Z157711400,49.375640869140625,reissue
Z157598504,Z256472808,49.54142379760742,
Z156577207,Z224270704,49.70128631591797,
Z170807203,Z18244920X,49.770896911621094,
Z185142104,Z170807409,49.98796844482422,
Z224270704,Z256472808,50.129520416259766,
Z158700100,Z15657730X,50.225914001464844,
Z170807409,Z15657730X,50.35884094238281,
Z35076705,Z182900000,50.3928337097168,
Z158700100,Z164752105,50.44567108154297,
Z170807409,Z182900000,50.509979248046875,
Z168353709,Z224214403,50.56964111328125,
Z168353801,Z224214403,50.5731201171875,
Z256472808,Z156265702,50.62150955200195,
Z163300909,Z185142207,50.641754150390625,reissue
Z204534306,Z35076705,50.65385055541992,
Z157583008,Z224270704,50.714942932128906,
Z159588009,Z157583008,50.82680892944336,
Z168091405,Z156265702,51.1853141784668,
Z159579604,Z159579501,51.3277473449707,
Z170807409,Z18244920X,51.3414306640625,
Z204534306,Z170807409,51.49245071411133,reissue
Z159588009,Z164752105,51.51283264160156,
