a,b,num_pairs,normalized,url_a,url_b
Z163300909,Z158160208,224,0.17905675459632295,http://data.onb.ac.at/ABO/+Z163300909,http://data.onb.ac.at/ABO/+Z158160208
Z163300909,Z15958790X,224,0.34728682170542635,http://data.onb.ac.at/ABO/+Z163300909,http://data.onb.ac.at/ABO/+Z15958790X
Z15958790X,Z160260500,224,0.4014336917562724,http://data.onb.ac.at/ABO/+Z15958790X,http://data.onb.ac.at/ABO/+Z160260500
Z160260500,Z158160208,224,0.19243986254295534,http://data.onb.ac.at/ABO/+Z160260500,http://data.onb.ac.at/ABO/+Z158160208
Z185142104,Z156577207,220,1.0,http://data.onb.ac.at/ABO/+Z185142104,http://data.onb.ac.at/ABO/+Z156577207
Z185142001,Z253367704,216,0.254416961130742,http://data.onb.ac.at/ABO/+Z185142001,http://data.onb.ac.at/ABO/+Z253367704
Z165709803,Z184929303,210,0.2692307692307692,http://data.onb.ac.at/ABO/+Z165709803,http://data.onb.ac.at/ABO/+Z184929303
Z156771000,Z184929303,210,0.2924791086350975,http://data.onb.ac.at/ABO/+Z156771000,http://data.onb.ac.at/ABO/+Z184929303
Z185157107,Z184929303,210,0.5722070844686649,http://data.onb.ac.at/ABO/+Z185157107,http://data.onb.ac.at/ABO/+Z184929303
Z185157909,Z184929303,210,0.5384615384615384,http://data.onb.ac.at/ABO/+Z185157909,http://data.onb.ac.at/ABO/+Z184929303
Z168354106,Z184929303,210,0.6017191977077364,http://data.onb.ac.at/ABO/+Z168354106,http://data.onb.ac.at/ABO/+Z184929303
Z180628606,Z185142001,204,0.2527881040892193,http://data.onb.ac.at/ABO/+Z180628606,http://data.onb.ac.at/ABO/+Z185142001
Z185142001,Z185143704,204,0.56353591160221,http://data.onb.ac.at/ABO/+Z185142001,http://data.onb.ac.at/ABO/+Z185143704
Z163300909,Z182822001,196,0.3020030816640986,http://data.onb.ac.at/ABO/+Z163300909,http://data.onb.ac.at/ABO/+Z182822001
Z163300909,Z25647300X,196,0.31160572337042924,http://data.onb.ac.at/ABO/+Z163300909,http://data.onb.ac.at/ABO/+Z25647300X
Z160260500,Z182822001,196,0.3487544483985765,http://data.onb.ac.at/ABO/+Z160260500,http://data.onb.ac.at/ABO/+Z182822001
Z160260500,Z25647300X,196,0.36162361623616235,http://data.onb.ac.at/ABO/+Z160260500,http://data.onb.ac.at/ABO/+Z25647300X
Z15958790X,Z185158008,192,0.4987012987012987,http://data.onb.ac.at/ABO/+Z15958790X,http://data.onb.ac.at/ABO/+Z185158008
Z15958790X,Z168096506,192,0.1995841995841996,http://data.onb.ac.at/ABO/+Z15958790X,http://data.onb.ac.at/ABO/+Z168096506
Z158160208,Z185158008,192,0.19374369323915236,http://data.onb.ac.at/ABO/+Z158160208,http://data.onb.ac.at/ABO/+Z185158008
Z158160208,Z168096506,192,0.12244897959183673,http://data.onb.ac.at/ABO/+Z158160208,http://data.onb.ac.at/ABO/+Z168096506
Z167120604,Z18514390X,186,0.3157894736842105,http://data.onb.ac.at/ABO/+Z167120604,http://data.onb.ac.at/ABO/+Z18514390X
Z18514390X,Z164172903,186,0.4043478260869565,http://data.onb.ac.at/ABO/+Z18514390X,http://data.onb.ac.at/ABO/+Z164172903
Z165709803,Z253367704,180,0.14150943396226415,http://data.onb.ac.at/ABO/+Z165709803,http://data.onb.ac.at/ABO/+Z253367704
Z156771000,Z253367704,180,0.1487603305785124,http://data.onb.ac.at/ABO/+Z156771000,http://data.onb.ac.at/ABO/+Z253367704
Z253367704,Z185157107,180,0.20954598370197905,http://data.onb.ac.at/ABO/+Z253367704,http://data.onb.ac.at/ABO/+Z185157107
Z253367704,Z168354106,180,0.2140309155766944,http://data.onb.ac.at/ABO/+Z253367704,http://data.onb.ac.at/ABO/+Z168354106
Z253367704,Z185157909,180,0.20408163265306123,http://data.onb.ac.at/ABO/+Z253367704,http://data.onb.ac.at/ABO/+Z185157909
Z15958790X,Z185142104,176,0.5285285285285285,http://data.onb.ac.at/ABO/+Z15958790X,http://data.onb.ac.at/ABO/+Z185142104
Z185142104,Z158160208,176,0.18743343982960597,http://data.onb.ac.at/ABO/+Z185142104,http://data.onb.ac.at/ABO/+Z158160208
Z15958790X,Z156577207,172,0.5165165165165165,http://data.onb.ac.at/ABO/+Z15958790X,http://data.onb.ac.at/ABO/+Z156577207
Z165709803,Z185143704,170,0.21656050955414013,http://data.onb.ac.at/ABO/+Z165709803,http://data.onb.ac.at/ABO/+Z185143704
Z165709803,Z180628606,170,0.13821138211382114,http://data.onb.ac.at/ABO/+Z165709803,http://data.onb.ac.at/ABO/+Z180628606
Z180628606,Z156771000,170,0.14554794520547945,http://data.onb.ac.at/ABO/+Z180628606,http://data.onb.ac.at/ABO/+Z156771000
Z180628606,Z185157107,170,0.20807833537331702,http://data.onb.ac.at/ABO/+Z180628606,http://data.onb.ac.at/ABO/+Z185157107
Z180628606,Z168354106,170,0.2127659574468085,http://data.onb.ac.at/ABO/+Z180628606,http://data.onb.ac.at/ABO/+Z168354106
Z180628606,Z185157909,170,0.20238095238095238,http://data.onb.ac.at/ABO/+Z180628606,http://data.onb.ac.at/ABO/+Z185157909
Z156771000,Z185143704,170,0.2351313969571231,http://data.onb.ac.at/ABO/+Z156771000,http://data.onb.ac.at/ABO/+Z185143704
Z185157107,Z185143704,170,0.45698924731182794,http://data.onb.ac.at/ABO/+Z185157107,http://data.onb.ac.at/ABO/+Z185143704
Z185157909,Z185143704,170,0.43037974683544306,http://data.onb.ac.at/ABO/+Z185157909,http://data.onb.ac.at/ABO/+Z185143704
Z168354106,Z185143704,170,0.480225988700565,http://data.onb.ac.at/ABO/+Z168354106,http://data.onb.ac.at/ABO/+Z185143704
Z163300909,Z185142001,168,0.29422066549912435,http://data.onb.ac.at/ABO/+Z163300909,http://data.onb.ac.at/ABO/+Z185142001
Z185142001,Z160260500,168,0.34710743801652894,http://data.onb.ac.at/ABO/+Z185142001,http://data.onb.ac.at/ABO/+Z160260500
Z182822001,Z185158008,168,0.4318766066838046,http://data.onb.ac.at/ABO/+Z182822001,http://data.onb.ac.at/ABO/+Z185158008
Z182822001,Z168096506,168,0.17391304347826086,http://data.onb.ac.at/ABO/+Z182822001,http://data.onb.ac.at/ABO/+Z168096506
Z25647300X,Z185158008,168,0.45528455284552843,http://data.onb.ac.at/ABO/+Z25647300X,http://data.onb.ac.at/ABO/+Z185158008
Z25647300X,Z168096506,168,0.17758985200845667,http://data.onb.ac.at/ABO/+Z25647300X,http://data.onb.ac.at/ABO/+Z168096506
Z158160208,Z156577207,160,0.1703940362087327,http://data.onb.ac.at/ABO/+Z158160208,http://data.onb.ac.at/ABO/+Z156577207
Z185912505,Z164172903,156,0.20526315789473684,http://data.onb.ac.at/ABO/+Z185912505,http://data.onb.ac.at/ABO/+Z164172903
Z185912505,Z167120604,156,0.17547806524184478,http://data.onb.ac.at/ABO/+Z185912505,http://data.onb.ac.at/ABO/+Z167120604
Z185142104,Z182822001,154,0.456973293768546,http://data.onb.ac.at/ABO/+Z185142104,http://data.onb.ac.at/ABO/+Z182822001
