cluster,barcode,abo_url
37,Z185144009,http://data.onb.ac.at/ABO/+Z185144009
37,Z185157405,http://data.onb.ac.at/ABO/+Z185157405
37,Z185143807,http://data.onb.ac.at/ABO/+Z185143807
38,Z177173803,http://data.onb.ac.at/ABO/+Z177173803
38,Z176514702,http://data.onb.ac.at/ABO/+Z176514702
38,Z170807604,http://data.onb.ac.at/ABO/+Z170807604
38,Z166652709,http://data.onb.ac.at/ABO/+Z166652709
38,Z177010100,http://data.onb.ac.at/ABO/+Z177010100
38,Z95575606,http://data.onb.ac.at/ABO/+Z95575606
38,Z200807900,http://data.onb.ac.at/ABO/+Z200807900
38,Z158486503,http://data.onb.ac.at/ABO/+Z158486503
38,Z180055801,http://data.onb.ac.at/ABO/+Z180055801
38,Z180620103,http://data.onb.ac.at/ABO/+Z180620103
38,Z185157302,http://data.onb.ac.at/ABO/+Z185157302
38,Z180713907,http://data.onb.ac.at/ABO/+Z180713907
38,Z165271500,http://data.onb.ac.at/ABO/+Z165271500
38,Z181207700,http://data.onb.ac.at/ABO/+Z181207700
38,Z166666101,http://data.onb.ac.at/ABO/+Z166666101
38,Z177004902,http://data.onb.ac.at/ABO/+Z177004902
38,Z157645002,http://data.onb.ac.at/ABO/+Z157645002
38,Z170738205,http://data.onb.ac.at/ABO/+Z170738205
39,Z166828101,http://data.onb.ac.at/ABO/+Z166828101
39,Z179146505,http://data.onb.ac.at/ABO/+Z179146505
39,Z156584406,http://data.onb.ac.at/ABO/+Z156584406
39,Z171736009,http://data.onb.ac.at/ABO/+Z171736009
39,Z18287220X,http://data.onb.ac.at/ABO/+Z18287220X
39,Z180648502,http://data.onb.ac.at/ABO/+Z180648502
39,Z164599303,http://data.onb.ac.at/ABO/+Z164599303
39,Z20322520X,http://data.onb.ac.at/ABO/+Z20322520X
39,Z175847409,http://data.onb.ac.at/ABO/+Z175847409
39,Z160331002,http://data.onb.ac.at/ABO/+Z160331002
39,Z16868510X,http://data.onb.ac.at/ABO/+Z16868510X
39,Z159579008,http://data.onb.ac.at/ABO/+Z159579008
39,Z203220900,http://data.onb.ac.at/ABO/+Z203220900
39,Z159573808,http://data.onb.ac.at/ABO/+Z159573808
39,Z180663709,http://data.onb.ac.at/ABO/+Z180663709
39,Z207115102,http://data.onb.ac.at/ABO/+Z207115102
39,Z17845860X,http://data.onb.ac.at/ABO/+Z17845860X
39,Z166663604,http://data.onb.ac.at/ABO/+Z166663604
39,Z155909506,http://data.onb.ac.at/ABO/+Z155909506
39,Z156569405,http://data.onb.ac.at/ABO/+Z156569405
39,Z159573900,http://data.onb.ac.at/ABO/+Z159573900
39,Z202951005,http://data.onb.ac.at/ABO/+Z202951005
39,Z159579203,http://data.onb.ac.at/ABO/+Z159579203
39,Z15959440X,http://data.onb.ac.at/ABO/+Z15959440X
39,Z180618303,http://data.onb.ac.at/ABO/+Z180618303
39,Z155013304,http://data.onb.ac.at/ABO/+Z155013304
39,Z182437208,http://data.onb.ac.at/ABO/+Z182437208
39,Z15957400X,http://data.onb.ac.at/ABO/+Z15957400X
39,Z181287203,http://data.onb.ac.at/ABO/+Z181287203
39,Z180648204,http://data.onb.ac.at/ABO/+Z180648204
39,Z175174804,http://data.onb.ac.at/ABO/+Z175174804
39,Z159573705,http://data.onb.ac.at/ABO/+Z159573705
39,Z178376102,http://data.onb.ac.at/ABO/+Z178376102
39,Z180798408,http://data.onb.ac.at/ABO/+Z180798408
39,Z162737605,http://data.onb.ac.at/ABO/+Z162737605
39,Z155901003,http://data.onb.ac.at/ABO/+Z155901003
