cluster,barcode,abo_url
39,Z222079302,http://data.onb.ac.at/ABO/+Z222079302
39,Z222079405,http://data.onb.ac.at/ABO/+Z222079405
39,Z163348608,http://data.onb.ac.at/ABO/+Z163348608
40,Z228139205,http://data.onb.ac.at/ABO/+Z228139205
40,Z228139102,http://data.onb.ac.at/ABO/+Z228139102
40,Z12494500X,http://data.onb.ac.at/ABO/+Z12494500X
40,Z25790750X,http://data.onb.ac.at/ABO/+Z25790750X
40,Z257907407,http://data.onb.ac.at/ABO/+Z257907407
40,Z124944900,http://data.onb.ac.at/ABO/+Z124944900
40,Z170102700,http://data.onb.ac.at/ABO/+Z170102700
41,Z164965800,http://data.onb.ac.at/ABO/+Z164965800
41,Z16496540X,http://data.onb.ac.at/ABO/+Z16496540X
41,Z98089802,http://data.onb.ac.at/ABO/+Z98089802
41,Z164965605,http://data.onb.ac.at/ABO/+Z164965605
41,Z164965708,http://data.onb.ac.at/ABO/+Z164965708
41,Z164965502,http://data.onb.ac.at/ABO/+Z164965502
41,Z164965903,http://data.onb.ac.at/ABO/+Z164965903
42,Z231657909,http://data.onb.ac.at/ABO/+Z231657909
42,Z197444902,http://data.onb.ac.at/ABO/+Z197444902
42,Z98089401,http://data.onb.ac.at/ABO/+Z98089401
42,Z98089103,http://data.onb.ac.at/ABO/+Z98089103
42,Z231657600,http://data.onb.ac.at/ABO/+Z231657600
42,Z231657703,http://data.onb.ac.at/ABO/+Z231657703
42,Z98089206,http://data.onb.ac.at/ABO/+Z98089206
43,Z159039300,http://data.onb.ac.at/ABO/+Z159039300
43,Z19835880X,http://data.onb.ac.at/ABO/+Z19835880X
43,Z98087507,http://data.onb.ac.at/ABO/+Z98087507
43,Z198358707,http://data.onb.ac.at/ABO/+Z198358707
43,Z164419805,http://data.onb.ac.at/ABO/+Z164419805
43,Z98087404,http://data.onb.ac.at/ABO/+Z98087404
43,Z159039403,http://data.onb.ac.at/ABO/+Z159039403
44,Z162174301,http://data.onb.ac.at/ABO/+Z162174301
44,Z159149403,http://data.onb.ac.at/ABO/+Z159149403
44,Z197223703,http://data.onb.ac.at/ABO/+Z197223703
44,Z197223806,http://data.onb.ac.at/ABO/+Z197223806
44,Z200829804,http://data.onb.ac.at/ABO/+Z200829804
44,Z197223600,http://data.onb.ac.at/ABO/+Z197223600
44,Z181145007,http://data.onb.ac.at/ABO/+Z181145007
45,Z156576707,http://data.onb.ac.at/ABO/+Z156576707
45,Z162234607,http://data.onb.ac.at/ABO/+Z162234607
45,Z155179504,http://data.onb.ac.at/ABO/+Z155179504
45,Z16223470X,http://data.onb.ac.at/ABO/+Z16223470X
45,Z170966809,http://data.onb.ac.at/ABO/+Z170966809
45,Z155179401,http://data.onb.ac.at/ABO/+Z155179401
45,Z15657680X,http://data.onb.ac.at/ABO/+Z15657680X
46,Z197234506,http://data.onb.ac.at/ABO/+Z197234506
46,Z119409000,http://data.onb.ac.at/ABO/+Z119409000
46,Z119408706,http://data.onb.ac.at/ABO/+Z119408706
46,Z197234701,http://data.onb.ac.at/ABO/+Z197234701
46,Z119408901,http://data.onb.ac.at/ABO/+Z119408901
46,Z119408500,http://data.onb.ac.at/ABO/+Z119408500
46,Z119408603,http://data.onb.ac.at/ABO/+Z119408603
47,Z18641530X,http://data.onb.ac.at/ABO/+Z18641530X
47,Z156320804,http://data.onb.ac.at/ABO/+Z156320804
47,Z176814102,http://data.onb.ac.at/ABO/+Z176814102
47,Z24420706,http://data.onb.ac.at/ABO/+Z24420706
47,Z159589300,http://data.onb.ac.at/ABO/+Z159589300
47,Z156326703,http://data.onb.ac.at/ABO/+Z156326703
47,Z176615701,http://data.onb.ac.at/ABO/+Z176615701
48,Z17020000X,http://data.onb.ac.at/ABO/+Z17020000X
48,Z202406805,http://data.onb.ac.at/ABO/+Z202406805
48,Z17019980X,http://data.onb.ac.at/ABO/+Z17019980X
48,Z202406908,http://data.onb.ac.at/ABO/+Z202406908
48,Z177002309,http://data.onb.ac.at/ABO/+Z177002309
48,Z170199902,http://data.onb.ac.at/ABO/+Z170199902
48,Z177002401,http://data.onb.ac.at/ABO/+Z177002401
49,Z202484907,http://data.onb.ac.at/ABO/+Z202484907
49,Z202485006,http://data.onb.ac.at/ABO/+Z202485006
49,Z168278104,http://data.onb.ac.at/ABO/+Z168278104
49,Z119412801,http://data.onb.ac.at/ABO/+Z119412801
49,Z119412904,http://data.onb.ac.at/ABO/+Z119412904
49,Z202484804,http://data.onb.ac.at/ABO/+Z202484804
49,Z119413003,http://data.onb.ac.at/ABO/+Z119413003
50,Z162784206,http://data.onb.ac.at/ABO/+Z162784206
50,Z19721720X,http://data.onb.ac.at/ABO/+Z19721720X
50,Z22366730X,http://data.onb.ac.at/ABO/+Z22366730X
50,Z21339709,http://data.onb.ac.at/ABO/+Z21339709
50,Z220647507,http://data.onb.ac.at/ABO/+Z220647507
50,Z20428370X,http://data.onb.ac.at/ABO/+Z20428370X
50,Z204881201,http://data.onb.ac.at/ABO/+Z204881201
50,Z203132002,http://data.onb.ac.at/ABO/+Z203132002
51,Z164420601,http://data.onb.ac.at/ABO/+Z164420601
51,Z222164305,http://data.onb.ac.at/ABO/+Z222164305
51,Z222103201,http://data.onb.ac.at/ABO/+Z222103201
51,Z198358902,http://data.onb.ac.at/ABO/+Z198358902
51,Z9808760X,http://data.onb.ac.at/ABO/+Z9808760X
51,Z164419908,http://data.onb.ac.at/ABO/+Z164419908
51,Z198359608,http://data.onb.ac.at/ABO/+Z198359608
51,Z98088305,http://data.onb.ac.at/ABO/+Z98088305
52,Z16442090X,http://data.onb.ac.at/ABO/+Z16442090X
52,Z98088603,http://data.onb.ac.at/ABO/+Z98088603
52,Z198360003,http://data.onb.ac.at/ABO/+Z198360003
52,Z198359906,http://data.onb.ac.at/ABO/+Z198359906
52,Z148208503,http://data.onb.ac.at/ABO/+Z148208503
52,Z166394800,http://data.onb.ac.at/ABO/+Z166394800
52,Z148208400,http://data.onb.ac.at/ABO/+Z148208400
52,Z166394708,http://data.onb.ac.at/ABO/+Z166394708
53,Z186306406,http://data.onb.ac.at/ABO/+Z186306406
53,Z186306601,http://data.onb.ac.at/ABO/+Z186306601
53,Z171240107,http://data.onb.ac.at/ABO/+Z171240107
53,Z16413950X,http://data.onb.ac.at/ABO/+Z16413950X
53,Z176539607,http://data.onb.ac.at/ABO/+Z176539607
53,Z155931603,http://data.onb.ac.at/ABO/+Z155931603
53,Z164139407,http://data.onb.ac.at/ABO/+Z164139407
53,Z186306509,http://data.onb.ac.at/ABO/+Z186306509
54,Z222079107,http://data.onb.ac.at/ABO/+Z222079107
54,Z205034809,http://data.onb.ac.at/ABO/+Z205034809
54,Z207697607,http://data.onb.ac.at/ABO/+Z207697607
54,Z178476406,http://data.onb.ac.at/ABO/+Z178476406
54,Z202619801,http://data.onb.ac.at/ABO/+Z202619801
54,Z170966901,http://data.onb.ac.at/ABO/+Z170966901
